routepin.schema	ff_formal_routepin/2
routepin.first.w1.route	 { CLBLL_L_A CLBLL_LOGIC_OUTS8  { BYP_ALT1 BYP_BOUNCE1  { IMUX13 CLBLL_L_B6 }  GFAN0  { IMUX16 CLBLL_L_B3 }  IMUX26 CLBLL_L_B4 }  IMUX25 CLBLL_L_B5 }  
routepin.first.w1.pips	CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX13->CLBLL_L_B6 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX16->CLBLL_L_B3 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX25->CLBLL_L_B5 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX26->CLBLL_L_B4 CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_A->CLBLL_LOGIC_OUTS8 INT_R_X19Y20/INT_R.BYP_ALT1->>BYP_BOUNCE1 INT_R_X19Y20/INT_R.BYP_BOUNCE1->>GFAN0 INT_R_X19Y20/INT_R.BYP_BOUNCE1->>IMUX13 INT_R_X19Y20/INT_R.GFAN0->>IMUX16 INT_R_X19Y20/INT_R.GFAN0->>IMUX26 INT_R_X19Y20/INT_R.LOGIC_OUTS8->>BYP_ALT1 INT_R_X19Y20/INT_R.LOGIC_OUTS8->>IMUX25
routepin.first.w1.driver	anchor_lut1/O
routepin.first.w1.sinks	anchor_lut2/I2 anchor_lut2/I3 anchor_lut2/I4 anchor_lut2/I5
routepin.first.w1.status	ROUTED
routepin.first.w1.fixed	1
routepin.first.w2.route	 { CLBLL_L_B CLBLL_LOGIC_OUTS9  { WR1BEG2 WL1BEG0 BYP_ALT0 BYP0 CLBLM_L_AX }  FAN_ALT2 FAN_BOUNCE2 BYP_ALT0 BYP0 CLBLL_L_AX }  
routepin.first.w2.pips	CLBLL_R_X19Y20/CLBLL_R.CLBLL_BYP0->CLBLL_L_AX CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_B->CLBLL_LOGIC_OUTS9 CLBLM_R_X17Y20/CLBLM_R.CLBLM_BYP0->CLBLM_L_AX INT_L_X18Y20/INT_L.WR1END2->>WL1BEG0 INT_R_X17Y20/INT_R.BYP_ALT0->>BYP0 INT_R_X17Y20/INT_R.WL1END0->>BYP_ALT0 INT_R_X19Y20/INT_R.BYP_ALT0->>BYP0 INT_R_X19Y20/INT_R.FAN_ALT2->>FAN_BOUNCE2 INT_R_X19Y20/INT_R.FAN_BOUNCE2->>BYP_ALT0 INT_R_X19Y20/INT_R.LOGIC_OUTS9->>FAN_ALT2 INT_R_X19Y20/INT_R.LOGIC_OUTS9->>WR1BEG2
routepin.first.w2.driver	anchor_lut2/O
routepin.first.w2.sinks	anchor_ff/D anchor_ff2/D
routepin.first.w2.status	ROUTED
routepin.first.w2.fixed	1
routepin.final.anchor_o.route	{}
routepin.final.anchor_o.pips	
routepin.final.anchor_o.driver	anchor_o_OBUF_inst/O
routepin.final.anchor_o.sinks	
routepin.final.anchor_o.status	INTRASITE
routepin.final.anchor_o.fixed	0
routepin.final.anchor_o2.route	{}
routepin.final.anchor_o2.pips	
routepin.final.anchor_o2.driver	anchor_o2_OBUF_inst/O
routepin.final.anchor_o2.sinks	
routepin.final.anchor_o2.status	INTRASITE
routepin.final.anchor_o2.fixed	0
routepin.final.anchor_o2_OBUF.route	 { CLBLM_L_AQ CLBLM_LOGIC_OUTS0 NE6BEG0 NE6BEG0 NE6BEG0 NE6BEG0 EE2BEG0 NE6BEG0 NE6BEG0 NN6BEG0 NN6BEG0 NN6BEG0 NN6BEG0 NN2BEG0 SR1BEG_S0 IMUX34 IOI_OLOGIC1_D1 RIOI_OLOGIC1_OQ RIOI_O1 }  
