specimen_id	instance	variant	node_type	spec.bit	readback.tsv	checkpoint
SLICE_X15Y25_zini_D5FF	SLICE_X15Y25	zini_D5FF	derived	f350e701aff4ebc0709f7d087054dc3240737bb87968d0378e119faab679b79a	2d5452eb27c10c0a3707c5644743693d3838f274c24e21473f80653541520bbd	cc042d9cc52c526e686947ecb6455d88b13fbbae223544d4ea086a891a34903c
SLICE_X15Y25_zini_DFF	SLICE_X15Y25	zini_DFF	derived	d27aab5061dc0b1681cc987dce7f4c4bee1c6a4f77e2729b5c5694200459ee89	992cf929c6596e90295eb230db7309a73bf142399b276a248c5a133bb843fcc2	b003942c8036a81769505f2dc70dd896cb333ae3efd66f3f203c77b27ef254c6
SLICE_X15Y25_zrst_A5FF	SLICE_X15Y25	zrst_A5FF	implementation	4064ea69f02f4b73ed5a55c109d657a93d6e6a0c6da82e4d6a203adb9d861056	ac307f34cb994403df5c82563508a9007b6c7bd70c04303aaded30bb4982eba9	779fa6a9661b9cbfc07fe2128ec7d869ae5e3a7ae9a6b38dc906364a9ec2f99a
SLICE_X15Y25_zrst_AFF	SLICE_X15Y25	zrst_AFF	implementation	527256a8e11e2471ec7fc242edcc03e76858850f965f102aaf43b275eef1609f	b9c76bc067782395c92f29d86aee51640d621ca304517539ebf97a17d2172917	1400637563911d125f0ae87c63f9f190b8498f58cec4a8e745f341ea3d38ee58
SLICE_X15Y25_zrst_B5FF	SLICE_X15Y25	zrst_B5FF	implementation	aedb57886e22378234df8e9a2a237a36896335cba1822a473a91b20d68760469	91253d5755630d64103085ead0c750f63d5285ee7816006928fb5c1bb67afe26	855deaecc884d349385a0339dbc3704c48f5fd84fdefab39ddc260a684c3e943
SLICE_X15Y25_zrst_BFF	SLICE_X15Y25	zrst_BFF	implementation	c3010b5b9a32ec4482546bcc3f73d8121033a3dea2d95ef58b15c934b9724ef9	a2bd3110a348c1d83d5d110b2ab33ced851c77882eb83759488e1de5743acf8e	5566f2dbd9140a8c43a52b89facacc1e3d328691101620a26e259d12e47736df
SLICE_X15Y25_zrst_C5FF	SLICE_X15Y25	zrst_C5FF	implementation	1f4ba6daa278bb0a70e9082436341c870a1ba9e472112a002d7be94033a50801	cc0ab84c51691afb974ff30a178f9da72d6e4e8def3b25a1029938aec4fecd90	ebccbb32e6892e7c63fe2271b7baf5163577afd6fac5973a54fc64b293521c3c
SLICE_X15Y25_zrst_CFF	SLICE_X15Y25	zrst_CFF	implementation	2c5f0be4c279f57b1caec7571639e703846b41f6c34027c4db08f65a3e5a46f9	847899dc80ae102df7cdb822b534dd12a824bbca75ac92ce977f50fad657f48a	d6d8f3fc5491de9681bda70b8154b06cb19843d32dc39d1d5f0a25a8f266f8f0
SLICE_X15Y25_zrst_D5FF	SLICE_X15Y25	zrst_D5FF	implementation	7650b940230bb45e676d6a661222e212fb664997cb4df59e47e09d750b1f53da	230347d85b413511784751d78748e79bd1f716ee8f04c6b0be875a9937adbb82	dc35e1d54e022aef706183ead061f0d786604476f64d366bf7355ef2a52d25c4
SLICE_X15Y25_zrst_DFF	SLICE_X15Y25	zrst_DFF	implementation	c5c3348e075e21d2d42105af46e1430444d5cd6ede275e632a7c08babe947900	6a33b9e1585ffd5ee44c2d0e12dc4a606d21d4e25dc6c2b8308d14e7d6664ae2	cb1b673c3467a0dcf463dccc073eb11e319770ca18bfbf1e4f8c1bdc338dff1f
